,country,description,total_model_predict
49,US,"This estate-grown, organic Chardonnay is a terrific value, detailed and brightly fruity, with precise angles and spicy details. The apple/pear/pineapple fruit flavors are crisply defined, perfectly ripe, and beautifully balanced.",US
50,US,"This Chardonnay is rich in all the bells and whistles, such as aging on the lees in French oak barrels. The underlying fruit shows ripe, racy tropical flavors, as well as peach and pear notes that are deep and delicious. With production of 8,400 cases, the wine should be easy to find.",US
51,US,"This wine is as dry as Chardonnay gets, almost severe, with the alcohol an amazingly low 13.2% by volume. The lean, angular mouthfeel provides hints of Meyer lemons, limes and wet stones, with a bit of tropical fruits suggesting that this is California, despite the vintage being the chilliest in memory. Drink it through 2020, but never too cold.",US
52,US,"This 100% Dijon-clone bottling offers a bold mix of peach, banana and pineapple. It's fruit-driven from top to bottom, with supporting acids to keep it fresh and invigorating.",US
53,US,"Fuller in style, it boasts layers of coconut cream pie, fig and honey, with a swirl of vanilla lurking in there too. Mineral-rich, the finish revisits the creamy, baked fruit theme, lush and generous.",US
54,US,"Light, bright and refreshing, it offers pear spritzer, lime zest and a hint of guava on the nose, followed by citrus rind, light papaya and apple juice on the palate. It makes a nice bridge between the richness of Chardonnay and crispness of Sauvignon Blanc.",US
55,US,"This longtime Carneros producer sources from dozens of its own blocks to put together this estate Chardonnay. Intense in floral aromas as well as peach and lemon, it's dusted only slightly in clove and a light barrel imprint. Bright on the tongue and on the finish, it's a food-friendly wine that will complement.",US
56,US,"Entirely sourced from this Sangiacomo family-farmed vineyard, which is planted entirely to the Old Wente clone, this wine offers fleshy and tropical juiciness and texture. Aged in French oak, the vast majority of it neutral, the wine lets the fruit and acidity speak for themselves.",US
57,US,"This wine is sourced from a handful of stellar vineyards, including Pratt, Dutton, Sullivan and Chenoweth. It was given 18 months in French oak, all of it twice-used or older, which contributes to an integrated, understated wood presence that's refreshing in its restraint. Creamy acidity and a taste of baked bread cradles lemon zest and almond before a crisp, lengthy finish.",US
58,US,"Ripe fruit and oak loom large in this wine, produced from relatively old vines in the heart of the appellation, long a source for the producer's Pinot Noir. Preserved lemon, fleshy melon and caramel dance around each other, steeped in Golden Delicious apple, honey and pear. A high wire of acidity marks the finish.",US
59,US,"With fresh green-apple aromas, and juicy apple and citrus flavors, this is a lively, crisp and well-balanced wine. Instead of going for overt oaky, buttery flavors and a fat mouthfeel, it stays nicely lean and refreshing, even with relatively full body.",US
60,US,"Slightly oxidized aromas of marzipan, pressed yellow flowers, dried lemon rinds and apricot cream entice the nose on this wine from the historic vineyard by Joshua Klapper. The palate shows woody spice and a unique iodine character, with cinnamon, salt, sour yeastiness and a touch of tart citrus peel.",US
61,US,"While the nose is delicate with faint hints of yellow plum and pear, the palate is surprisingly brawny and bold. Rich, buttery and voluminous, this wine showcases ripe citrus and apple flavors, but falls a bit short on the finish.",US
62,US,"The oak in this wine is restrained, partly because it aged in stainless steel and a sizable percentage of neutral oak. Still, a richness of apple and pear compote provide a steady level of richness, while a lemon squeeze of acidity keeps it fresh and youthful.",US
63,US,"Unctuous and ripe in caramel and toasty aromas, this is deep golden in color but completely crisp and balanced in the glass. The nose is so overwhelming that the flavors take time to show. Once they do, it's a celebration of green apple and melon enveloped in complex minerality and a supple body.",US
64,US,"The aromas of this Chardonnay are zesty and fresh yet rich, with barrel smoke, caramelized pear and vanilla tones. The integration continues on the palate, with a bit of oak followed by apple, white peach, nectarine and lime zest. It's flavorful and enjoyable now.",US
65,US,"Buttered sourdough toast and a slight nuttiness kick off another excellent Chardonnay from the ever-reliable Talley. The palate is greeted with minerality that fades into an apple butter flavor alongside a pinch of cinnamon, culminating in a graceful vanilla finish.",US
66,US,"This is balanced and elegant in subtle pear, ginger and lemon. A fine food wine, it's ideal for roast chicken in herbes de Provence or ratatouille. Located in the Petaluma Gap and the source of grapes for several wines, Sun Chase was bought in 2013 by Guarachi Family Wines.",US
67,US,"Sourced from the producer's Stanly Ranch Estate Vineyard and Hyde Vineyard, both in Carneros, this is a stunning effort. Its baked pear fruit provides hefty body and texture, while honeysuckle and apple blossom notes and a squeeze of lemon-like acidity keep it balanced and fresh.",US
68,US,"Light gold in color, this wine is focused and bright. A jasmine aroma and succulent green-apple flavor pairs with steely minerality, offering power and grace in one satisfying package.",US
69,US,"Multiple vineyards contribute to this standout blend. It feels open and accessible, yet carries the structure to age gracefully. You'll find interesting threads of freshly picked herb, lemon oil, pimiento and olive supporting citrus and fresh apple fruit.",US
70,US,"This is one of the most beloved Chardonnays from Santa Barbara County, and for good reason: Bryan Babcock manages to imbue his wine with buttery richness yet also balance it with acidity and smoke. Honeysuckle, almond and Gravenstein apple aromas lead into energetic yet creamy marshmallow and poached pear flavors, all cut with citrusy acidity.",US
71,US,"Minerally on the start, this white progresses into oaky vanilla and brioche notes with a heightened viscosity midway through, before re-finding its vibrancy at the end. In between expect a full-bodied, fruity expression of the variety highlighted by plenty of ripe apple and apricot.",US
72,US,"A blend of three estate-farmed vineyards, this is a velvety-smooth expression of the variety. It conveys a touch more richness and concentration than some of the producer's other wines, at least at the beginning of the glass, when almond and hazelnut rule the day. But then it takes on a lightness toward the lengthy finish, ending in a mix of lemon zest and apple.",US
73,US,"The nose on this appellation blend is full of soft tones of ripe nectarine and pluot, though cut with walnut oil and a citrus edge. It's more pithy in flavor, showing orange bitters, dried apples and more nut oils, slightly oxidative in style.",US
74,US,"Smoky, toasted oak aromas lead to strong char and butter flavors and a viscous texture that clings to the palate. Subtlety is not one of this wine's virtues, as its outsized flavors stand in stark relief.",US
75,US,"Buttery aromas and buttery, spicy flavors lend an outgoing personality to this medium-bodied wine. Vanilla and cream flavors add some interest, while the texture is broad and smooth.",US
76,US,"From four estate vineyards, this wine appears to be low in oak and extra crisp in mouthfeel, offering austere apple and citrus elements with a slight metallic edge.",US
77,US,"A complex nose emerges as this wine opens up with chalk, soda, lemon and lime pith. The scents go well with the ocean breezes at Deep Sea's tasting room on Santa Barbara's wharf. It's lean on the palate, with lime throughout and a bit of papaya on the end.",US
78,US,"A touch of caramelized sugar lingers from nose to finish on this brisk wine, melding into layers of white peach, caramel and cream. It's light in body, but the mouthfeel is surprisingly round and rich. The finish is zesty and bright.",US
79,US,"Toffee, cinnamon apples and a hefty swirl of smoke arise on the nose from the winery's entry-level bottling. The palate shows caramelized pears, nicely bitter lemon rinds and warm, buttered nut toffee note that carries from first sip to the finish.",US
80,US,"Winemakers Mikey Giugni and Michael Brughelli are the first to admit that this is an odd style of wine, but people are digging the pét-nat style. Aromas of sour apple, grass and passion fruit arise while the palate's very tight, bubbles unleash exotic tropical fruits like green papaya and green banana.",US
81,US,"Dark gold in color, this wine was whole-cluster pressed and fermented for a lengthy six months, providing for a luxuriousness of stone fruit and melon dripping in honey and caramel. It's ripe and fleshy, with a slight voluptuousness. Aged in 50% new French oak for 17 months.",US
82,US,"Baked pears, tangerine oil and wet-cement minerality show on the nose of this rich yet balanced wine from one of the region's premiere sites. The palate shows Gala apples, honeysuckle and blood-orange rinds, blending ripeness with grippy tartness.",France
83,US,"Medium bodied and restrained on the palate, this wine offers a mix of caramelized lemon and Gravenstein apple. It ends lengthy with tastes of ginger and lemongrass that leave a refreshing finish.",US
84,US,"From vineyards in both Alexander Valley and Bennett Valley, the grapes were fermented in French oak for eight months, a minority of it new. This is a medium-bodied, integrated wine rich in caramel apple and fresh-squeezed tangerine. Brisk and in balance, it finishes with a note of toasted almond.",US
85,US,"An expansive, full-bodied and generously rich wine, this features present but integrated oak. Aromas of orange blossom and jasmine rise slowly out of the glass to lighten the experience, polished in bites of green apple and pineapple.",US
86,US,"This wine comes from one of the producer's oldest blocks in Carneros, where grapes retain vibrant acidity. Reduced on the nose, it opens up into a mix of fennel, preserved lemon and almond aromas that follow through on the steely palate with grace.",US
87,US,"This cuvée, says winemaker Josh Bergström, is crafted to compete with village Burgundies. Principally Temperance Hill fruit, it more than does the job, with great mouthfeel, and a succulent tangy ripe mix of citrus and stone fruits. There's a lick of caramel apple coming through also, and the wine is bursting with bright flavors across the board.",US
88,US,"Savory in aroma, richly fruity and accented with butter and vanilla, this wine has a complete package of flavors and an expert balance to accompany its creamy viscosity. It combines lightly toasty, earthy notes with generous pear and citrus flavors in a way that's unusual and compelling. Best after 2020.",US
89,US,"Creamy and lush, this offers currents of tropical coconut complemented by floral gardenia and pear. Made in a fuller style than some of the winery's other vineyard-specific wines, the generosity of fruit is expertly offset by searingly pleasant acidity, sustaining it sip after sip.",US
90,US,"Pineapple, candied apple and a touch of guava jelly on toast achieve great aromatic balance on a rare Rancho Santa Rosa Chardonnay. The flavors are lush, not racy, and evolve in a mellow fashion, from apple to nectarine and then papaya.",US
91,US,"This attention-grabbing debut Chardonnay comes from a new sister winery to Roederer Estate in Mendocino County. It shows a vivid yellow-gold color, butterscotch and hazelnut aromas, butter and bosc pear flavors and tasty bread dough accents. Rich and full in flavor, it's sleek in texture, but not too full-bodied.",US
92,US,"With no new oak, La Sereinité is indeed serene, textured and round with vibrant acidity. The aromatics do the talking first, inviting one in with nuanced white peach, orange blossom and lime before the palate develops over time into richer, fuller flavors of crème brûlée. Throughout, the wine is balanced and expressive.",US
93,US,"This widely available white is unfussy and medium bodied, with toasted oak and baked apple flavors, brightened by a squeeze of lemon.",US
94,US,Hints of nut and spice on the nose lift flatter tones of pressed apple and pear in the palate of this medium-bodied white. Soft lemonade acidity brightens the finish.,US
95,US,"A large production offering, this white is simple and direct in its expression of the variety, remaining steely and low in oak on the palate, with a depth of green apple and melon fruit.",US
96,US,"Toffee, cinnamon apples and a hefty swirl of smoke arise on the nose from the winery's entry-level bottling. The palate shows caramelized pears, nicely bitter lemon rinds and warm, buttered nut toffee note that carries from first sip to the finish.",US
97,US,"This is unusual for a reserve, in that it's lower in alcohol than the regular bottling, and more cases were produced. The light fruits and herbs—green apple and lemon verbena in particular—are highlighted with tarragon and citrus peel. The complexity compensates for the just-on-the-edge ripeness, and time in 20% new oak adds a buttery note to the finish.",US
98,US,"Lots of purity, with acidity and stony minerality providing earthy balance to the lemon, lime and mango fruit flavors. Thoroughly dry, it's a classy wine to drink now.",US
99,US,"This wine is made in the style of the winery's marvelous Finch Hollow Chardonnays, but is just a little less concentrated. Dry, crisp and elegantly clean, it has complex, mineral-infused flavors of tangerines, peaches and limes, enhanced with lots of smoky new oak. It should hold in the bottle through 2016.",US
100,US,"This is a creamy, thick and food friendly white with highlights of honey and green apple and a lingering decadence of ginger, just hinting at anise. Medium-bodied, it represents the vintage and the appellation well, at a price that's nice.",US
101,US,"From older vines on the producer's estate, this wine has a depth of richness to the nose and is intensely powerful in gingerbread and Meyer lemon on the medium-bodied palate. Lemony acidity rounds out the finish, flecked in butter.",US
102,US,"Decadent and candied, this is an oaky, well-made wine with richness at its core. Tahitian vanilla, caramel and Meyer lemon give way to more weighty tropical characteristics, making for a ripe, bigger-styled wine.",US
103,US,"Waxy apple stars in this brisk, approachable white from a single estate-farmed block, the oak briny and salty in toast and honey. Textured and elegantly light bodied, it finishes with a satisfying note of lemon candy.",US
104,US,"This stellar reserve remains one of the finest Chardonnays from Oregon. Meyer lemon, peanut oil, salted nuts, citrus and tangerine combine in a deep and intense palate. Whole-cluster pressed and barrel fermented (but in just 10% new French oak), this delicious, dense and penetrating wine should be consumed now through the early 2020s.",US
105,US,"Though labeled Willamette Valley, this is single vineyard Chehalem Mountains AVA fruit. Smooth, ripe and buttery, from sniff to swallow, it's loaded with Satsuma orange, Meyer lemon and pink-grapefruit flavors. The acids snap and the finish lingers, with a streak of vanilla and a slight sensation of heat.",US
106,US,"Sourced entirely from the Otis Harlan Vineyard, these vines were planted about 25 years ago. It's a pleasure to see them singled out for this showcase bottling. It's a rich, oily, nutty, buttery style to be sure, but also dense with ripe apple, pear and peach fruit. The acidity buoys it up throughout a strong, long finish.",US
107,US,"A classic Napa Valley Chardonnay, this is smooth, rich, balanced and well composed. Flowery aromas of honeysuckle open the way for lemon curd and ripe apple to compete with a depth of crème brûlée character that provides plenty of complexity, with additional accents of honey and spice.",US
108,US,"Fully creamy and generous in crème brûlée and lemon curd, this dances in acidity and is balanced, the texture silky smooth. Highlights center on fresh-cut Anjou pear, a slice of which would go well with the wine, accompanied by Stilton.",US
109,US,"A sharp brine character gets warmer boosts from underlying pear, nectarine and buttered sourdough aromas. Flavors are light and bright at first, with sandy clay, vanilla cookie and custard strudel emerging on the midpalate and a line of acidity down through the finish.",US
110,US,"A solid wine for the price, this begins with honeydew and lime aromas. Flavors start with a spicy cinnamon apple before diving into buttered squash, melon and fresh lime, with a dash of salt.",US
111,US,The new American oak barrel fermentation and aging steals the show on this wine. Notes of vanilla and woodspice overpower the variety's melon and apple aromas and flavors. There are some good things going on but it's hard to get at them.,US
112,US,"Straightforward oak and roasted pear aromas great the nose on this wine from one of the region's central and historic vineyards. Flavors are a little flat at first, but then apple flesh and pear skin bitterness emerge, with citrusy acidity.",US
113,US,"This lightly aromatic wine offers notes of pear, peach and spice. It's straight down the fairway with appealing stone fruit flavors and a lightly creamy feel.",US
114,US,"Crisp lemon, fennel and Bosc pear come into play in this medium-bodied Chardonnay, accented by a taste of fig. Taking on depth and breadth as it develops in the glass and on the palate, the wine finishes long and lean.",US
115,US,"Dryness, acidity and minerality mark this Chardonnay. It's elegant, with Meyer lemon, lime and new French oak flavors that bring a rich note of buttered toast. The score is lifted by the wine's balance. Drink now–2018.",US
116,US,"The acidity is like a double squeeze of lime juice. It gets the tastebuds whistling, which allowss the intense lemon, lime and mango flavors to spread across the mouth and sink deep into the palate. This zesty wine needs rich fare. Ahi tuna tartare is perfect.",US
117,US,"A tremendous value, this white is light and floral, soft in honeyed stone fruit and pineapple. A nice minerality buoys the proceedings, a medium-body taking on new strength midway through before letting the wine finish crisp and clean.",US
118,US,"Bruised apricot, lemonade and citrus rind-laden marzipan notes hit the nose on this wine, which is showing just a touch of nutty, honeyed oxidization. The macadamia nut element arises on the palate too, alongside intriguingly peaty flavors reminiscent of Scotch, with almond liqueur on the outro. It presents decent acidity throughout.",US
119,US,"Quite buttery and nutty on the nose, this wine shows Marcona almonds, seared pineapple, crème brûlée and vanilla custard. Those elements meet with smart amounts of acid and texture on each creamy, buttery, pineapple-laced sip, which then finishes on marshmallow flavors.",US
120,US,"From Old Wente clones grown on the famous vineyard, this full-bodied, textured wine shows ripe elements of golden honey, Gravenstein apple and toasted vanilla oak. Along the way, it flirts nicely with pear and marzipan, finishing in balanced minerality.",US
121,US,"Foley's Chardonnays always manage to be both extremely tense yet flavorful—a combination that will please many palates. This bottling recalls grapefruit, mandarin pith and Asian pear on the nose, its nervy, mineral-driven palate awash with chalk and wet slate notes. It all finishes on a pleasing twist of lime.",US
122,US,"Dark in color and offering opulent aromas of crème brûlée and marshmallow, this vineyard-designate is marked by its wealth of orange blossom aromas, an inviting, floral entry. While it exudes richness on the nose, it remains much more restrained and dry on the palate, finishing with leanness and length.",US
123,US,"Sweet and fruity, this canned wine feels soft and syrupy, with sugary pear as the primary flavor on the palate. It's a basic white wine in a convenient package.",France
124,US,"Crafted from Wente clone grapes from Charles Ranch, this label is the passion project of longtime wine industry player Tony Lombardi, who manages the much larger Kosta Browne brand. Barrel-fermented in neutral oak this wine offers heady Tahitian vanilla and lemon curd around green apple skin and lemon. The palate is both creamy and crisp, the finish reasonably powerful.",US
125,US,"Lemony-vanilla crème brûlée rises to the fore in this medium-bodied Chardonnay. Medium to high in acidity, it retains a crisp freshness throughout its layers of fruit, finishing clean.",US
126,US,"This warm-climate wine is fulsome and hearty in baked Asian pear and candied ginger. A dried-fruit quality stands out on the buxom palate, a buttery taste of dried apricot drizzled in honey and brioche.",US
127,US,"Coming from the warm 2013 vintage, this easy-drinking wine offers notes of sweet corn, pear and peach with light barrel accents. The fruit flavors are elegant with a lightly creamy feel.",US
128,US,"Crisp in green apple and lemon, this light Chardonnay, only 12.4% in alcohol, will sweep you off your feet with Thai food, seafood or as a before-dinner quaff. From an un-grafted, old Wente clone vineyard found abandoned (thus the name), it has a trace of salinity throughout and a lurking layer of Asian spice.",US
129,US,"This unoaked, Dijon-clone wine is lively and lush, with tongue-coating fruit. Melon, banana and papaya flavors steer it in a tropical direction, with a lick of mineral and phenolic bite giving further support.",US
130,US,"Old Wente clones drive the richness of this wine, a mix of lemon, oak and fennel, with a touch of spice on the finish. A waft of buttered popcorn invites intrigue aromatically, developing into creaminess on the body. Bacigalupi has a history of famous Chardonnay, having provided grapes for Chateau Montelena's winning Chardonnay in the 1976 Paris Tasting.",US
131,US,"High-toned aromatics precede a light, lean palate, with a jolt of tingling acidity polished around a medium-weight body. There's  a hint of wet stone and spice to the finish.",US
132,US,"Winemaker Bill Brosseau tapped into his family's vineyard to produce this light and delicate wine. Its aromas suggest white flowers, key lime and chalk, while its flavors are high-toned and tight, recalling chilled pear, lime and pomelo pith. A graphite-like minerality adds complexity.",US
133,US,"This dazzling, dry and restrained wine was matured in new French oak but with such a light touch that it feels more lean than fat in texture. It has enough fruitiness—crisp apple and lemon flavors—and spice to make it tempting now, though it will improve with age. Best after 2020.",US
134,US,"This is tight, toasty and focused upon opening, with highlights of green olive and a core of mixed tree fruits. Excellent concentration, vivid acidity and a suggestion of wet rock contribute to a well-balanced wine with structure and length. The framing here is just right, with 30% new oak adding subtle threads of light wood flavors. Decant or cellar till 2020 before drinking.",France
135,US,"A bit tight and dainty on the nose, with reserved apple custard and white-flower aromas, this top-level bottling shows lots of nerve and verve once sipped. It offers salt, lime juice and honeysuckle on the palate, with lots of tension that lasts long after the bottle has been opened. It's a well-structured white.",US
136,US,"This warm-climate wine is fulsome and hearty in baked Asian pear and candied ginger. A dried-fruit quality stands out on the buxom palate, a buttery taste of dried apricot drizzled in honey and brioche.",US
137,US,"The nose is broad and welcoming, with apple and pear flesh aromas touched with vanilla and struck match. The palate shows good tension between lemon pith and roasted apple, proving quite focused and grippy with tannins, although a tad hot.",US
138,US,"This unoaked, Dijon-clone wine is lively and lush, with tongue-coating fruit. Melon, banana and papaya flavors steer it in a tropical direction, with a lick of mineral and phenolic bite giving further support.",US
